Column1;Column2;Column3
Θ09Μ;4895;19
Θ09Χα;2080;7
Θ09Χβ;1765;3
Θ20Μ;4296;18
Θ20Χ;1580;7
Θ20Α;297;1
Θ20Μ;1735;8
Θ20Χ;731;3
Θ21Α;2599;12
Θ22Μ;1393;7
Θ22Χ;482;2
Θ23Μ;1074;4
Θ23Χ;405;2
Θ24Μ;1829;9
Θ24Χ;669;2
Υ02Μ;3111;10
Υ02Χ;1189;2
Υ03Μα;6431;15
Υ03Μβ;4426;9
Υ03Χ;2992;5
Υ04Μ;4355;15
Υ04Χα;2361;7
Υ04Χβ;1605;3
Υ05Μ;2848;11
Υ05Χ;1000;3
Υ06Μ;2381;9
Υ06Χ;808;2
Υ07Μ;1218;5
Υ07Χ;680;1
Υ08Μ;1271;5
Υ08Χ;631;2
Υ09Μ;4729;17
Υ09Χα;1919;4
Υ09Χβ;1035;2
Υ20Α;767;2
Υ21Α;231;1
Υ22Α;482;1
Υ20Μα;2934;12
Υ20Μβ;1300;6
Υ20Χ;584;3
Υ21Α;136;1
Υ22Μ;1471;7
Υ22Χ;545;2
Υ23Μ;1564;8
Υ23Χ;560;3
Υ24Α;389;2
Υ25Μ;1128;6
Υ25Χ;405;2
Υ26Α;440;2
Υ27Μ;1673;7
Υ27Χ;358;2
Υ28Α;296;1
Β01Μ;3553;8
Β01Χ;2892;4
Β02Μ;1719;7
Β02Χ;1007;3
Β03Α;771;2
Β04Α;652;1
Β05Α;458;1
Β06Μ;1930;6
Β06Χ;1659;2
Β10Α;220;1
Β20Μ;1323;7
Β20Χ;413;2
Β21Α;459;2
Β22Α;545;3
Β23Α;316;1
Β24Α;296;1
Γ01Α;2964;8
Γ04Μ;2062;5
Γ04Χ;1525;3
Γ05Μ;2147;6
Γ05Χ;1374;2
Γ06Μ;1649;4
Γ06Χ;1264;2
Γ07Α;742;1
Γ08Α;719;1
Γ09Α;418;2
Γ10Α;425;1
Γ11Α;729;3
Γ12Μ;3576;9
Γ12Χ;1963;4
Γ20Μ;1969;9
Γ20Χ;755;3
Γ21Α;475;2
Γ22Α;257;1
Λ01Μ;2171;7
Λ01Χ;1541;4
Λ02Μ;1743;4
Λ02Χ;1175;3
Λ03Μ;1249;3
Λ03Χ;886;2
Λ04Μ;1807;5
Λ04Χ;571;2
Λ05Α;334;1
Λ20Α;872;3
Λ21Α;420;2
Λ23Α;265;1
Λ24Α;288;2
Λ26Α;257;2
Τ01Α;1381;1
Τ02Α;20279;23
Τ03Α;16846;48
Τ04Α;11997;34
Τ05Α;10357;27
Τ06Μ;15128;30
Τ06Χ;5062;13
Τ20Μ;244;2
Τ20Χ;512;2
Τ21Α;41579;73
Τ22Α;30725;65
Τ23Α;7359;25
Τ24Α;5818;26
Τ25Μα;5872;24
Τ25Μβ;4145;20
Τ25Μγ;3158;18
Τ25Χ;2646;15
