Α29Μ	           872  	4
Α29Χ	           397  	2
Α30Μ	        1.331  	5
Α30Χ	           607  	2
Α31Μ	        1.798  	9
Α31Χ	           910  	5
Α32Α	           846  	4
Α33Μα	        2.023  	10
Α33Μβ	        1.043  	5
Α33Χ	           607  	3
Α34Μα	        1.977  	10
Α34Μβ	        1.393  	7
Α34Χ	           638  	3
Α35Μα	        1.556  	8
Α35Μβ	           973  	5
Α35Χ	           475  	2
Α36Α	        2.412  	14 	 
Κ01Μ	      16.215  	12
Κ01Χ	      12.420  	3
Κ02Α	        2.844  	4
Κ03Μ	      15.429  	23
Κ03Χ	      11.734  	13
Κ04Μ	      13.155  	14
Κ04Χ	        9.163  	8
Κ05Μ	      10.023  	18
Κ05Χ	        7.270  	13
Κ06Μ	        7.182  	10
Κ06Χ	        5.077  	7
Κ07Μα	      10.554  	12
Κ07Μβ	        7.279  	8
Κ07Χ	        5.354  	7
Κ08Μ	        8.956  	16
Κ08Χ	        5.561  	7
Κ09Μα	        6.413  	10
Κ09Μβ	        3.617  	6
Κ09Χ	        2.386  	3
Κ10Μ	        4.166  	8
Κ10Χ	        2.724  	4
Κ11Μ	        7.292  	27
Κ11Χ	        3.223  	14
Κ12Μ	        5.465  	11
Κ12Χ	        3.694  	4
Κ13Μ	        3.969  	17
Κ13Χ	        1.660  	7
Κ14Μα	        3.569  	11
Κ14Μβ	        1.991  	4
Κ14Χ	        1.277  	2
Κ15Μ	        2.728  	4
Κ15Χ	        2.013  	2
Κ16Μ	        1.531  	3
Κ16Χ	        1.118  	2
Κ17Μ	        2.892  	5
Κ17Χ	        2.617  	1
Κ18Μ	        2.226  	7
Κ18Χ	        1.146  	2
Κ19Α	        3.194  	3
Κ20Α	           760  	1
Κ21Μ	        3.680  	15
Κ21Χ	        1.494  	4
Κ22Α	        7.753  	15
Κ30Μ	        6.295  	11
Κ30Χ	        4.470  	6
Κ31Μ	        2.038  	8
Κ31Χ	        1.183  	4
Κ32Α	        1.043  	1
Κ32Μ	        2.062  	8
Κ32Χ	        1.089  	3
Κ33Α	        3.132  	13
Κ40Μ	        2.000  	10
Κ40Χ	           794  	3
Κ41Μ	        4.801  	22
Κ41Χ	        2.397  	12
Κ42Μ	        2.054  	10
Κ42Χ	           934  	5
Κ43Μ	        1.471  	8
Κ33Χ	           669  	5
Κ34Μ	        2.233  	13
Κ34Χ	           981  	5
Κ35Μ	        1.502  	7
Κ35Χ	           521  	2
Κ36Μ	           957  	5
Κ36Χ	           374  	2
Κ37Μ	        1.198  	6
Κ37Χ	           459  	2
Κ38Μ	        1.284  	4
Κ38Χ	           627  	1
Κ39Μ	        1.268  	6
Κ39Χ	           327  	2
Κ42Μ	           942  	4
Κ42Χ	           467  	2
Κ43Μ	        1.113  	6
Κ43Χ	           397  	2
